,score,time,samples,id,channels,n_sessions,dataset,pipeline
0,0.7585358619689941,8.130102157592773,2304.0,1,22,2,001-2014,CSP+LDA
1,0.4917052388191223,5.711462020874023,2304.0,2,22,2,001-2014,CSP+LDA
2,0.9624807238578796,5.185694694519043,2304.0,3,22,2,001-2014,CSP+LDA
3,0.7096836566925049,8.602527618408203,2304.0,4,22,2,001-2014,CSP+LDA
4,0.5533854365348816,5.434660911560059,2304.0,5,22,2,001-2014,CSP+LDA
5,0.6086034178733826,4.662090301513672,2304.0,6,22,2,001-2014,CSP+LDA
6,0.6168498992919922,5.519492149353027,2304.0,7,22,2,001-2014,CSP+LDA
7,0.9251543283462524,5.220293998718262,2304.0,8,22,2,001-2014,CSP+LDA
8,0.5209780335426331,6.041319370269775,2304.0,9,22,2,001-2014,CSP+LDA
9,0.7092669606208801,3.7364399433135986,5800.0,1,3,2,004-2014,CSP+LDA
10,0.5863494873046875,3.300359010696411,5840.0,2,3,2,004-2014,CSP+LDA
11,0.5388888716697693,3.546215295791626,5800.0,3,3,2,004-2014,CSP+LDA
12,0.9426077604293823,3.2679951190948486,5780.0,4,3,2,004-2014,CSP+LDA
13,0.800693929195404,4.050814151763916,5780.0,5,3,2,004-2014,CSP+LDA
14,0.8077623248100281,3.685086727142334,5800.0,6,3,2,004-2014,CSP+LDA
15,0.7105246782302856,3.717836856842041,5800.0,7,3,2,004-2014,CSP+LDA
16,0.8526384830474854,3.248847484588623,5760.0,8,3,2,004-2014,CSP+LDA
17,0.8407638669013977,3.623812437057495,5800.0,9,3,2,004-2014,CSP+LDA
18,0.9144444465637207,10.092095375061035,1680.0,1,30,1,BBCI EEG fNIRS,CSP+LDA
19,0.903333306312561,12.774402618408203,1680.0,2,30,1,BBCI EEG fNIRS,CSP+LDA
20,0.8322222232818604,8.31060791015625,1680.0,3,30,1,BBCI EEG fNIRS,CSP+LDA
21,0.554444432258606,12.74472427368164,1680.0,4,30,1,BBCI EEG fNIRS,CSP+LDA
22,0.5699999928474426,8.08810043334961,1680.0,5,30,1,BBCI EEG fNIRS,CSP+LDA
23,0.6066666841506958,8.038349151611328,1680.0,6,30,1,BBCI EEG fNIRS,CSP+LDA
24,0.5444444417953491,18.437631607055664,1680.0,7,30,1,BBCI EEG fNIRS,CSP+LDA
25,0.7744444608688354,17.782127380371094,1680.0,8,30,1,BBCI EEG fNIRS,CSP+LDA
26,0.9522222280502319,9.025790214538574,1680.0,9,30,1,BBCI EEG fNIRS,CSP+LDA
27,0.5822222232818604,11.282257080078125,1680.0,10,30,1,BBCI EEG fNIRS,CSP+LDA
28,0.7011111378669739,12.430923461914062,1680.0,11,30,1,BBCI EEG fNIRS,CSP+LDA
29,0.5344444513320923,9.145064353942871,1680.0,12,30,1,BBCI EEG fNIRS,CSP+LDA
30,0.8022222518920898,7.982306480407715,1680.0,13,30,1,BBCI EEG fNIRS,CSP+LDA
31,0.5933333039283752,14.765499114990234,1680.0,14,30,1,BBCI EEG fNIRS,CSP+LDA
32,0.6399999856948853,8.25442886352539,1680.0,15,30,1,BBCI EEG fNIRS,CSP+LDA
33,0.9766666889190674,9.888421058654785,1680.0,16,30,1,BBCI EEG fNIRS,CSP+LDA
34,0.8277778029441833,22.220394134521484,1680.0,17,30,1,BBCI EEG fNIRS,CSP+LDA
35,0.6155555844306946,9.944476127624512,1680.0,18,30,1,BBCI EEG fNIRS,CSP+LDA
36,0.9877777695655823,17.551591873168945,1680.0,19,30,1,BBCI EEG fNIRS,CSP+LDA
37,0.5522222518920898,16.47280502319336,1680.0,20,30,1,BBCI EEG fNIRS,CSP+LDA
38,0.6211110949516296,13.404600143432617,1680.0,21,30,1,BBCI EEG fNIRS,CSP+LDA
39,0.6100000143051147,15.319315910339355,1680.0,22,30,1,BBCI EEG fNIRS,CSP+LDA
40,0.948888897895813,15.059341430664062,1680.0,23,30,1,BBCI EEG fNIRS,CSP+LDA
41,0.6122221946716309,10.229013442993164,1680.0,24,30,1,BBCI EEG fNIRS,CSP+LDA
42,0.9766666889190674,11.24043083190918,1680.0,25,30,1,BBCI EEG fNIRS,CSP+LDA
43,0.8255555629730225,14.73979663848877,1680.0,26,30,1,BBCI EEG fNIRS,CSP+LDA
44,0.9644444584846497,12.63286304473877,1680.0,27,30,1,BBCI EEG fNIRS,CSP+LDA
45,0.6688888669013977,9.362820625305176,1680.0,28,30,1,BBCI EEG fNIRS,CSP+LDA
46,0.6499999761581421,9.359933853149414,1680.0,29,30,1,BBCI EEG fNIRS,CSP+LDA
47,0.7499035596847534,6.743470191955566,2304.0,1,22,2,001-2014,CSP+SVM
