,score,time,samples,id,channels,n_sessions,dataset,pipeline
0,0.8370640277862549,1.349825382232666,144.0,1,22,2,001-2014,CSP+LDA
1,0.9289721250534058,1.0998096466064453,144.0,1,22,2,001-2014,CSP+LDA
2,0.525813102722168,1.2564334869384766,144.0,2,22,2,001-2014,CSP+LDA
3,0.5194294452667236,1.1124114990234375,144.0,2,22,2,001-2014,CSP+LDA
4,0.9785714149475098,1.2585992813110352,144.0,3,22,2,001-2014,CSP+LDA
5,0.9890043139457703,1.146651029586792,144.0,3,22,2,001-2014,CSP+LDA
6,0.8059651255607605,1.225992202758789,144.0,4,22,2,001-2014,CSP+LDA
7,0.7780253291130066,1.380875587463379,144.0,4,22,2,001-2014,CSP+LDA
8,0.6284748315811157,1.357370138168335,144.0,5,22,2,001-2014,CSP+LDA
9,0.600570559501648,1.1847753524780273,144.0,5,22,2,001-2014,CSP+LDA
10,0.6505450010299683,1.3534317016601562,144.0,6,22,2,001-2014,CSP+LDA
11,0.6171772480010986,1.3156349658966064,144.0,6,22,2,001-2014,CSP+LDA
12,0.7896381616592407,1.3386609554290771,144.0,7,22,2,001-2014,CSP+LDA
13,0.9505028128623962,1.3414242267608643,144.0,7,22,2,001-2014,CSP+LDA
14,0.9798412919044495,1.2939205169677734,144.0,8,22,2,001-2014,CSP+LDA
15,0.9823753833770752,1.2942562103271484,144.0,8,22,2,001-2014,CSP+LDA
16,0.7302241921424866,1.2787559032440186,144.0,9,22,2,001-2014,CSP+LDA
17,0.9465945363044739,1.102198600769043,144.0,9,22,2,001-2014,CSP+LDA
18,0.761345386505127,0.7285037040710449,400.0,1,3,2,004-2014,CSP+LDA
19,0.8002864122390747,0.7876930236816406,320.0,1,3,2,004-2014,CSP+LDA
20,0.5951994061470032,0.8315327167510986,400.0,2,3,2,004-2014,CSP+LDA
21,0.5304699540138245,0.74204421043396,280.0,2,3,2,004-2014,CSP+LDA
22,0.5275243520736694,0.7206835746765137,400.0,3,3,2,004-2014,CSP+LDA
23,0.5596679449081421,0.736478328704834,320.0,3,3,2,004-2014,CSP+LDA
24,0.9380729794502258,0.8474636077880859,420.0,4,3,2,004-2014,CSP+LDA
25,0.9848645329475403,0.7718961238861084,320.0,4,3,2,004-2014,CSP+LDA
26,0.8025668263435364,0.8524696826934814,420.0,5,3,2,004-2014,CSP+LDA
27,0.8746252059936523,0.7259976863861084,320.0,5,3,2,004-2014,CSP+LDA
28,0.7745525240898132,0.7683179378509521,400.0,6,3,2,004-2014,CSP+LDA
29,0.8485217094421387,0.7700023651123047,320.0,6,3,2,004-2014,CSP+LDA
30,0.7255822420120239,0.7796263694763184,400.0,7,3,2,004-2014,CSP+LDA
31,0.7881956100463867,0.7814497947692871,320.0,7,3,2,004-2014,CSP+LDA
32,0.7839499711990356,0.8167972564697266,440.0,8,3,2,004-2014,CSP+LDA
33,0.9453451633453369,0.7519598007202148,320.0,8,3,2,004-2014,CSP+LDA
34,0.824070155620575,0.7584829330444336,400.0,9,3,2,004-2014,CSP+LDA
35,0.9255905747413635,0.8253629207611084,320.0,9,3,2,004-2014,CSP+LDA
36,0.8985714316368103,1.3285412788391113,60.0,1,30,1,BBCI EEG fNIRS,CSP+LDA
37,0.8028571605682373,1.2435801029205322,60.0,2,30,1,BBCI EEG fNIRS,CSP+LDA
38,0.6180357336997986,1.292412519454956,60.0,3,30,1,BBCI EEG fNIRS,CSP+LDA
39,0.4819642901420593,1.2060534954071045,60.0,4,30,1,BBCI EEG fNIRS,CSP+LDA
